title,genre,actors,view rating,release date,summary,score,votes,
Comrades: Almost a Love Story,"Drama, Romance","Maggie Cheung, Leon Lai, Eric Tsang, Kristy Yeung",,02 Nov 1996,Two young Chinese mainlanders transplanted to Hong Kong -- naive Xiao-Jun Li and street-smart Qiao Li -- become fast friends and then try not to fall in love despite their deepening feelings for each other.,8.1,5047,
The Closet,Comedy,"Gérard Depardieu, Michèle Laroque, Daniel Auteuil, Thierry Lhermitte",R,10 Aug 2001,A recent widowers move into a new house takes a chilling turn when his daughter vanishes — and only a mysterious exorcist seems to have answers.,7,16657,
The Mysterians,"Action, Family, Sci-Fi, Thriller","Yumi Shirakawa, Akihiko Hirata, Kenji Sahara, Momoko Kôchi",TV-Y7,15 May 1959,Mankind is faced with an impossible choice when an alien race requests the use of a small plot of land and permission to procreate with Earth’s women.,6.2,1383,
No Longer Human,"Biography, Drama, Thriller","Tatsuya Fujiwara, Kengo Kôra, Yûdai Chiba, Rie Miyazawa",,13 Sep 2019,"Writer Osamu Dazai vacillates between life, death and three separate women, wallowing in his own moral filth in reckless pursuit of artistic inspiration.",5.9,379,
Repast,Drama,"Yukiko Shimazaki, Setsuko Hara, Ken Uehara, Yôko Sugi",,23 Nov 1951,A woman struggles to keep her spirit alive through the drudgery of married existence after she moves from Tokyo to Osaka with her husband.,7.7,1355,
Sway,"Crime, Drama","Masatô Ibu, Hirofumi Arai, Joe Odagiri, Teruyuki Kagawa",,08 Jul 2006,"When a Tokyo photographer returns home for his mother’s memorial service, old grudges ignite into tragedy. His brother is arrested, but who is to blame?",7.2,963,
When a Woman Ascends the Stairs,Drama,"Hideko Takamine, Tatsuya Nakadai, Masayuki Mori, Reiko Dan",Not Rated,25 Jun 1963,"Faced with few options, a widowed bar hostess entertaining businessmen in the cutthroat Ginza district tries desperately to better her circumstances.",8.1,3771,
Yearning,Drama,"Hideko Takamine, Yumi Shirakawa, Mitsuko Kusabue, Yûzô Kayama",,23 Oct 1964,"A widow is tormented by the mean-spirited scheming of her late husband’s family, and by her rakish young brother-in-law’s sudden declaration of love.",8.1,1359,
Gorath,"Action, Family, Sci-Fi, Thriller","Yumi Shirakawa, Kumi Mizuno, Akira Kubo, Ryô Ikebe",Not Rated,15 May 1964,"With a gravitationally dense runaway star on a collision course with Earth, scientists devise a daring plan to shift our planet out of harm’s way.",5.8,636,
Ginza Cosmetics,Drama,"Yûji Hori, Kyôko Kagawa, Ranko Hanai, Kinuyo Tanaka",,14 Apr 1951,A bar hostess in Ginza struggles to make ends meet while parenting her son as she grapples with loyalty to her friends and customers expectations.,6.9,279,
Floating Clouds,"Drama, Romance","Hideko Takamine, Isao Yamagata, Mariko Okada, Masayuki Mori",,06 Jun 1980,"Returning to Japan after the war, a woman rekindles her affair with a man she met in French Indochina, but she remains unmoored in postwar society.",7.7,2395,
Cheer Boys!!,"Animation, Drama, Sport","Jarrod Greene, Cris George, Dallas Reid, Justin Pate",TV-14,05 Jul 2016,"After an injury ends his judo career, a college student and his best friend start a mens cheer team, assembling a squad of misfits to aim for the top.",6.4,70,
365 Nights,,"Hideko Takamine, Chizuko Nogami, Yûji Hori, Ken Uehara",,,Kuroku flees Osaka — where his nearly bankrupt father is pressuring him to marry the daughter of a wealthy man — and falls for a young woman in Tokyo.,5.5,6,
Restart After Come Back Home,"Drama, Romance","Masahiro Kômoto, Yukijirô Hotaru, Eri Murakawa, Yûki Furukawa",,04 Sep 2020,"Mitsuomi moves back home after ten exhausting years in the city, where his growing affection for a guy in the neighborhood helps heal his weary soul.",7.2,80,
Trial by Fire,"Biography, Drama","Laura Dern, Jack O'Connell, Emily Meade, Chris Coy",R,17 May 2019,A woman who develops a close relationship with a death row inmate sets out to prove the man was wrongfully convicted of killing his children in a fire.,6.9,3657,
5 Minute,Comedy,Jeff Lewis,,12 Oct 2010,"When a violent homophobic attack breaks out during a film screening, a bold journalist pursues justice for the LGBTQ community. Based on true events.",8.6,41,
Dilili in Paris,"Animation, Adventure, Family, Mystery","Prunelle Charles-Ambron, Bruno Paviot, Natalie Dessay, Enzo Ratsito",PG,04 Oct 2019,"After stowing away on a ship from New Caledonia, Dilili sets out to solve the mystery behind the kidnappings of young girls in Paris.",7,816,
All of Us,Comedy,"Duane Martin, Khamani Griffin, LisaRaye McCoy, Tony Rock",,16 Sep 2003,"In a self-help group led by an untried therapist, four people with terminal illnesses face uncomfortable truths while trying to live in the moment.",5.9,1280,
Years and Years,"Drama, Sci-Fi","Anne Reid, T'Nia Miller, Rory Kinnear, Ruth Madeley",TV-MA,24 Jun 2019,"After a fateful night in 2019, the future of Britain and the lives of an ordinary family change dramatically over the course of the next 15 years.",8.3,22324,
The New Pope,Drama,"Jude Law, Cécile de France, Silvio Orlando, John Malkovich",TV-MA,13 Jan 2020,"With the young pope out of commission, a new leader steps in. But lies and hidden agendas are just the start of the Vaticans problems.",8.2,12101,
Life and Nothing But,"Drama, War","Maurice Barrier, Philippe Noiret, Sabine Azéma, Pascale Vignal",PG,06 Sep 1989,"Maj. Dellaplane is a military man in World War I who takes on the unenviable, emotionally painful task of sifting through the bodies of men killed in the Verdun countryside and helping their relatives identify them.",7.4,1568,
Let Joy Reign Supreme,"Drama, History, War","Philippe Noiret, Christine Pascal, Jean-Pierre Marielle, Jean Rochefort",Not Rated,26 Mar 1975,"Under the eye of an ambitious priest, the libertine Philippe II revels in scandal as he rules 18th-century France in this satirical drama.",7.1,1305,
Coup de Torchon,"Comedy, Crime, Drama","Jean-Pierre Marielle, Philippe Noiret, Isabelle Huppert, Stéphane Audran",Not Rated,04 Nov 1981,"In 1930s colonial Senegal, a police officer decides to seek vengeance against his enemies in this adaptation of Jim Thompsons pulp novel ""Pop. 1280.""",7.5,5058,
Valley of the Gods,"Adventure, Drama, Sci-Fi, Thriller","Josh Hartnett, Bérénice Marlohe, Keir Dullea, John Malkovich",TV-14,11 Aug 2020,A struggling writer embarks on penning the biography of an industrial magnate who has designs on land sacred to the Navajo community.,4.5,494,
Framing John DeLorean,"Documentary, Biography, Drama","Morena Baccarin, Alec Baldwin, Dean Winters, Josh Charles",Unrated,07 Jun 2019,"From his rise in the auto industry to his fall from grace, follow John DeLoreans incredible legacy of power, politics, fast cars and illicit drugs.",6.5,1398,
Critters Attack!,"Comedy, Horror, Sci-Fi","Tashiana Washington, Jaeden Noel, Jack Fulton, Ava Preston",R,06 Nov 2020,"A babysitter and her bored charges take a hike — straight into a clutch of voracious aliens. Luckily, a mystery woman with a history isnt far behind.",3.7,2050,
The Bold Type,Drama,"Meghann Fahy, Melora Hardin, Katie Stevens, Aisha Dee",TV-14,20 Jun 2017,"At a womens magazine in New York, three millennials juggle their careers, romance, friendships and big-city life while finding their own voices.",8,9767,
Alice,"Comedy, Romance","June Squibb, Mia Farrow, William Hurt, Joe Mantegna",PG-13,10 Jan 1991,"While investigating a string of murders, a detective is stunned to encounter time travelers — especially a professor whos a dead ringer for his mother.",6.6,13379,
Lobster Cop,"Comedy, Crime","Hua Liu, You Zhou, Qianyuan Wang, Shanshan Yuan",,22 Jun 2018,"To nab a drug kingpin, four cops open a seafood restaurant as a cover. They must seize their chance when a secret recipe turns the eatery into a hit.",5.1,143,
Magic hour,Crime,"Kris Lemche, C. Thomas Howell, Trevor Morgan, William Russ",,,"After receiving a grim diagnosis on his health, a photographer embarks on a journey to deliver uncollected photos to their rightful owners.",5.5,90,
