title,genre,actors,view rating,release date,summary,score,votes,
Merkel,"Drama, History","Imogen Kogge, Tristan Seith, Josef Bierbichler, Wolfgang Pregler",,15 Apr 2020,German Chancellor Angela Merkel faces political upheaval over keeping her countrys borders open amid a 2015 refugee crisis in this quick-paced drama.,5.7,328,
Hustlers,"Comedy, Crime, Drama","Mette Towley, Jennifer Lopez, Julia Stiles, Constance Wu",R,13 Sep 2019,A struggling stripper and her street-smart mentor team up to turn the tables on their Wall Street clientele during the 2008 global financial crisis.,6.3,84147,
Barbie Princess Adventure,"Animation, Musical","Ogie Banks, Nakia Burrise, Greg Chun, Eamon Brennan",,01 Sep 2020,"With new friends in a new kingdom, Barbie learns what it means to be herself when she trades places with a royal lookalike in this musical adventure.",5.5,180,
Middle of Nowhere,"Comedy, Drama, Romance","Anton Yelchin, Eva Amurri Martino, Willa Holland, Susan Sarandon",R,13 Jul 2010,A rebellious teenager and his serious new friend go into business selling pot and find themselves dealing with issues from the past.,6.5,3564,
The Honor List,Drama,"Arden Cho, Sasha Pieterse, Karrueche Tran, Meghan Rienks",PG-13,11 May 2018,Former best friends reunite to celebrate life and cope with death by crossing off items on a bucket list during the summer before senior year.,5.4,602,
Holy Lands,"Comedy, Drama","Jonathan Rhys Meyers, James Caan, Rosanna Arquette, Tom Hollander",Not Rated,21 Jun 2019,"Harry left his New York family to spend his golden years raising pigs — in Israel. Now, it’s life with angry locals until he makes an unlikely friend.",6.5,1135,
Destruction Los Angeles,"Action, Adventure","Craig Sheffer, Cynthia Watros, Robert Giardina, Romeo Miller",Not Rated,21 Sep 2017,"When Los Angeles erupts into chaos after unprecedented seismic activity, an ambitious TV reporter chases the story while searching for his family.",4.1,1353,
Of Animals and Men,Documentary,"Krzysztof Plewako-Szczerbinski, Maria Pakulnis, Wojciech Machnicki, Wojciech Chorazy",,06 Sep 2019,Discover how Antonina and Jan Żabiński courageously risked their lives to save hundreds of Jews by hiding them at the Warsaw Zoo during World War II.,7.7,30,
Pilecki,"Biography, Drama, War","Mateusz Bieryt, Piotr Glowacki, Adam Cyra, Monika Jakowczuk",,25 Sep 2015,"This fictional documentary follows the life of army officer Witold Pilecki, who voluntarily infiltrated and later escaped from the Auschwitz death camp.",4.5,95,
The Forgiven,Thriller,"Forest Whitaker, Jeff Gum, Eric Bana, Morné Visser",R,09 Mar 2018,"After the end of Apartheid, Archbishop Desmond Tutu must work with a brutal killer seeking redemption in order to solve the murder of a teenage girl.",5.9,2006,
The Last Witness,"History, Thriller","Robert Wieckiewicz, Michael Gambon, Alex Pettyfer, Talulah Riley",Not Rated,29 May 2018,"When a journalist digs into the deaths of Polish veterans in England after WWII, he unearths clues to a deep conspiracy that could cost him dearly.",5.6,1565,
Bullitt,"Action, Crime, Thriller","Don Gordon, Robert Vaughn, Jacqueline Bisset, Steve McQueen",M/PG,17 Oct 1968,"After the murder of a mob witness he is guarding, San Francisco cop Frank Bullitt must uncover who exactly orchestrated the killing â€“ and why.",7.4,61088,
Bookmarks,Family,Lupita Nyong'o,TV-G,01 Sep 2020,"Celebrity readers share childrens books by Black authors to spark kid-friendly conversations about empathy, equality, self-love and antiracism.",4.5,120,
Felipe Esparza: Bad Decisions,Comedy,Felipe Esparza,,01 Sep 2020,"Two live performances, one in English and one in Spanish. No matter the language, Felipe Esparza is muy muy.",4.8,122,
The Boss Baby: Get That Baby!,"Animation, Short, Adventure, Comedy, Family","Rhys Darby, Flula Borg, Pierce Gagnon, Alex Cazares",TV-Y7,01 Sep 2020,Think youve got what it takes to be the boss? This interactive special puts your skills to the test and matches you up with one of 16 jobs at Baby Corp.,5.3,121,
The Match,"Comedy, Romance, Sport","Laura Fraser, James Cosmo, Isla Blair, Max Beesley",PG-13,13 Aug 1999,"One football match on a dirt pitch near Rome becomes a day of reckoning as a young player, his coach and their teams owner wrestle internal demons.",6.3,1277,
True: Friendship Day,"Animation, Family","Jamie Watson, Michela Luci, Eric Peterson",,01 Sep 2020,"When a giant Grippity-Grab snags Grizelda’s friendship bracelet and turns her into a mermaid, True heads under the sea with magic wishes to save the day.",6.7,7,
Couples Come Dine with Me,Reality-TV,Dave Lamb,,07 Jul 2014,"To win a cash prize, couples must go dish-to-dish against each other as they all host and critique a series of dinner parties.",6.4,49,
Come Dine with Me,"Game-Show, Reality-TV",Dave Lamb,TV-G,10 Jan 2005,The forks and knives are out when a group of amateur chefs each hosts a dinner party and rates each others meals for the chance to win a cash prize.,6.4,1804,
The New World,"Biography, Drama, History, Romance","Colin Farrell, Christopher Plummer, Christian Bale, Q'orianka Kilcher",PG-13,20 Jan 2006,The romantic legend of Pocahontas and John Smith unfolds amidst the bloody occupation by English imperialists of the 17th-century Jamestown settlement.,6.7,83031,
Dudley Do-Right,"Comedy, Family, Romance","Alfred Molina, Sarah Jessica Parker, Brendan Fraser, Eric Idle",PG,27 Aug 1999,"When the villainous Snidely Whiplash concocts a plan to take over Semi-Happy Valley, its up to upbeat Mountie Dudley Do-Right to stop him.",3.9,9931,
Maniyarayile Ashokan,"Comedy, Romance","Anupama Parameswaran, S.V. Krishna Shankar, Shine Tom Chacko, Jacob Gregory",,31 Aug 2020,"When his unlucky horoscope doesn’t bode well for his future wife, an earnest bachelor goes to surprising lengths to get the family he’s always wanted.",4.6,988,
Necropolis Symphony,"Comedy, Musical, Romance","Eduardo Gomes, Luciana Paes, Paulo Jordão, Hugo Villavicenzio",,14 Apr 2016,An apprentice gravedigger starts working with an eccentric funerary expert. But strange events soon have them reconsidering their relationship to the dead.,6.9,305,
Santana,"Action, Crime, Drama","Amanda Brown, Terence Bridgett, Paulo Americano, Dalton Borralho",TV-MA,28 Aug 2020,Two brothers — one a narcotics agent and the other a general — finally discover the identity of the drug lord who murdered their parents decades ago.,3.8,787,
I AM A KILLER: RELEASED,"Documentary, Crime",Tommy LeNoir,TV-MA,28 Aug 2020,"In this crime docuseries spinoff, a convict is paroled 30 years after being sentenced to death for murder. Then he makes a stunning confession.",5.2,572,
Masaba Masaba,"Comedy, Drama","Rytasha Rathore, Neena Gupta, Masaba Gupta, Neil Bhoopalam",TV-MA,28 Aug 2020,"Real life mom-daughter duo Neena and Masaba Gupta play versions of themselves in this playful, fictional peek into their lives in fashion and film.",6.7,1422,
Unknown Origins,"Action, Adventure, Comedy, Crime, Drama, Mystery, Thriller","Brays Efe, Verónica Echegui, Antonio Resines, Javier Rey",TV-MA,28 Aug 2020,A very chiseled but somber detective must find a serial killer who leaves clues that only his mentors nerdy comics-loving son can decipher.,6.1,5227,
Cobra Kai,"Action, Comedy, Drama, Sport","Ralph Macchio, William Zabka, Xolo Maridueña, Courtney Henggeler",TV-14,02 May 2018,"Decades after the tournament that changed their lives, the rivalry between Johnny and Daniel reignites in this sequel to the ""Karate Kid"" films.",8.6,109970,
All Together Now,Drama,"Auli'i Cravalho, Justina Machado, Rhenzy Feliz, Judy Reyes",PG,28 Aug 2020,"An optimistic, talented teen clings to a huge secret: Shes homeless and living on a bus. When tragedy strikes, can she learn to accept a helping hand?",6.5,2979,
Zengo,Comedy,"Ece Irtem, Dilsah Demir, Anil Acar, Yasemin Sakallioglu",,06 Mar 2020,"With the help of an old friend and a crew of supportive women from her neighborhood, Zengo sets out to show the fashion world shes got what it takes.",2.5,909,
The Bridge Curse,"Horror, Mystery, Thriller","J.C. Lin, Summer Meng, Cheng Ko, Ning Chang",,27 Aug 2020,A group of university students decides to test an urban legend about the ghost of a female student that haunts a campus bridge.,5.3,1013,
After the Rain,Drama,"Fumi Dan, Akira Terao, Yoshiko Miyazaki, Shirô Mifune",,22 Jan 2000,A high school student and former track star sidelined by an injury develops feelings for the middle-aged manager of the diner where she works.,7.7,3820,
Making The Witcher,Documentary,"Henry Cavill, Lauren Schmidt, Andrew Laws, Tomasz Baginski",,27 Aug 2020,"Journey into the extraordinary world of ""The Witcher"" — from casting the roles to Jaskiers catchy song — in this behind-the-scenes look at the series.",6.7,229,
Her Mothers Killer,,,,09 Sep 2017,"Nearly 30 years after her moms murder, a political strategist launches a calculated plan to ruin the Colombian presidential candidate who killed her.",,,
Rising Phoenix,"Documentary, Sport","Jean-Baptiste Alaize, Ryley Batt, Philip Craven, Ellie Cole",PG-13,26 Aug 2020,"Elite athletes and insiders reflect on the Paralympic Games and examine how they impact a global understanding of disability, diversity and excellence.",8.1,1189,
Million Dollar Beach House,Reality-TV,Peggy Zabakolas,TV-MA,26 Aug 2020,The competition is fierce — and the drama undeniable — as a group of young and hungry agents try to seal the deal on luxury listings in the Hamptons.,4.1,585,
Photograph,"Drama, Romance","Nawazuddin Siddiqui, Sanya Malhotra, Sachin Khedekar, Denzil Smith",PG-13,15 Mar 2019,A photographer convinces a stranger whose photo he snaps to pose as his fiancée to please his grandmother — but is unprepared for what develops.,6.8,4185,
Emilys Wonder Lab,"Short, Drama","Christopher Eccleston, Felicity Jones, Vic Waghorn",,21 Jun 2013,"Science-loving host Emily Calandrelli makes STEAM fun with activities, demonstrations and at-home experiments thatll make you think â€” and blow your mind!",6.7,44,
By the Grace of God,"Crime, Drama","Éric Caravaca, Denis Ménochet, Melvil Poupaud, Swann Arlaud",,18 Oct 2019,Three survivors who were abused by the same priest as children unite to seek justice against the Catholic Church for concealing and enabling his crimes.,7.2,5423,
Mrs. Right Guy,"Comedy, Romance","Dineo Moeketsi, Thapelo Mokoena, Lehasa Moloi, Tau Maserumule",,03 Jun 2016,"Burned by her ex, a woman who swears off love and rejects suitors before they get too close meets a charmer who begins to change her perspective on men.",6.8,34,
Southern Cross,"Action, Drama, Thriller","Michael Ironside, Malcolm McDowell, Hugo Tramón, Christian Svensson",Not Rated,10 Sep 1999,"When a woman takes a road trip with her three childhood friends, their efforts to reminiscence turn into a journey to rediscover themselves.",4.4,144,
Black Rose,"Action, Crime, Drama","Alexander Nevsky, Robert Davi, Adrian Paul, Kristanna Loken",TV-MA,28 Apr 2017,"Struggling in poverty with her single mother and siblings, a principled young woman meets the man of her dreams but soon finds hes keeping secrets.",2.5,2353,
Love the Way U Lie,"Comedy, Romance","Xian Lim, Jeric Raval, Kylie Verzosa, Alex Gonzaga",,20 Aug 2020,"With the help of a spunky, lonely-in-love psychic, a deceased wife tries to get her grieving husband to move on. In the process, sparks begin to fly.",5.8,68,
Politics,"Crime, Drama, Thriller","Ranbir Kapoor, Ajay Devgn, Nana Patekar, Katrina Kaif",Not Rated,04 Jun 2010,"As they guide the public in government and faith, a group of national leaders get soiled in power struggles, corruption and their own egos.",7.1,16418,
Official Secrets,"Biography, Crime, Drama, Thriller, War","Rhys Ifans, Keira Knightley, Matthew Goode, Matt Smith",R,30 Aug 2019,"The true story of British Intelligence whistleblower Katharine Gun, who leaked a top-secret NSA memo exposing a joint US-UK illegal spying operation.",7.3,34686,
Hoops,"Drama, Short","Maxwell Heyborne, Kirby Heyborne, Ethan Lyde, Michael Birkeland",Not Rated,03 Aug 2004,A foul-mouthed high school basketball coach is sure hell hit the big leagues if he can only turn his terrible team around. Good luck with that.,5.7,19,
Alien TV,"Animation, Comedy, Family","Kyle Dooley, John Cleland, Rupert Degas, Julie Lemieux",TV-Y7,21 Aug 2020,"Alien reporters Ixbee, Pixbee and Squee travel to a lovely but odd planet called Earth, where they attempt to make sense of humans and their hobbies.",6,154,
Class of 83,"Action, Crime, Drama, Thriller","Perry King, Roddy McDowall, Merrie Lynn Ross, Timothy Van Patten",R,20 Aug 1982,"Demoted to an academy job, a cop trains five foolhardy students as assassins in his risky revenge plot against police corruption and the underworld.",6.6,9774,
Dark Forces,"Action, Horror, Mystery, Thriller","Tenoch Huerta, Dale Carley, Ariane Pellicer, Eréndira Ibarra",,21 Aug 2020,"In search of his sister, a renegade criminal seeks answers at a sordid hotel where he encounters a sinister guest and romances a mysterious waitress.",2.5,426,
The Sleepover,"Action, Adventure, Comedy, Family","Maxwell Simkins, Lucas Jaye, Cree Cicchino, Sadie Stanley",TV-PG,21 Aug 2020,What do you do if your parents are kidnapped by a crew of international thieves? You begin a wild overnight adventure â€” complete with spy gear.,5.6,7848,
Psychopath with Piers Morgan,Documentary,"Becca Baggenstoss, Ella Bennett, Piers Morgan, Paris Lee Bennett",,27 Jun 2019,"Through a thick glass barrier, the journalist interviews Paris Bennett, who, at 13, killed his four-year-old sister, and is soon eligible for parole.",5.5,204,
Confessions of a Serial Killer with Piers Morgan,"Documentary, Crime",Piers Morgan,,16 Jul 2018,"Piers Morgan travels to Florida to sit down with Bernard Giles, who is serving a life sentence for killing five women over three months in 1973.",3.8,1223,
Biohackers,"Drama, Sci-Fi, Thriller","Thomas Prenn, Jessica Schwarz, Luna Wedler, Adrian Julius Tillmann",TV-MA,20 Aug 2020,A medical student enters a top German university on a secret mission to uncover a conspiracy linking a family tragedy to a visionary biology professor.,6.7,5376,
The Crimes That Bind,"Crime, Drama, Thriller","Cecilia Roth, Miguel Ángel Solá, Benjamín Amadeo, Sofía Gala Castiglione",TV-14,20 Aug 2020,"When her son is accused of raping and trying to murder his ex-wife, Alicia embarks on a journey that will change her life forever.",6.6,3122,
John Was Trying to Contact Aliens,"Documentary, Short, Biography, Romance, Sci-Fi","John Litrenta, John Shepherd",,20 Aug 2020,"A rural electronics whiz broadcasts radio signals into space and monitors for signs of aliens, but makes a more important connection here on Earth.",6.3,1182,
Bloodshot,"Action, Drama, Sci-Fi","Toby Kebbell, Sam Heughan, Eiza González, Vin Diesel",PG-13,13 Mar 2020,A dead soldier is resurrected with new biotechnology and embarks on a mission of revenge in this sci-fi action drama based on the comic book series.,5.7,61517,
Neighbors,Comedy,"Rose Byrne, Zoey Vargas, Seth Rogen, Elise Vargas",R,09 May 2014,Multiple stories center on the residents of a tenement house who struggle with poverty but are willing to sacrifice everything in the name of love.,6.3,287502,
Apartament,Documentary,"Piotr Krasko, Loris Chevrere, Arturo Mari, Stanislaw Dziwisz",,15 May 2015,"From home videos to interviews with his closest confidantes, this documentary reveals the unseen side of the late Pope John Paul II.",,,
Geisha,"Adult, Romance","Natalia Forrest, Keni Styles, Aletta Ocean, Wayne Scott-Fox",,20 Jul 2010,"With lives at stake, a stoic bouncer must choose between fulfilling his work obligations to a local mafioso or caring for his estranged brother.",7.4,29,
Goedam,"Short, Horror, Mystery, Thriller",Ga-rim Han,TV-MA,20 Aug 2020,"When night falls on the city, shadows and spirits come alive in this horror anthology series centered on urban legends.",5.7,553,
Scarecrow,Drama,"Ann Wedgeworth, Gene Hackman, Dorothy Tristan, Al Pacino",R,11 Apr 1973,"When his former partners vote to sell off a pricey piece of stolen jewelry, a thief recruits his grandson to help him retain it and repent for his deed.",7.3,15560,
Miss Hanoi,Crime,"Ha Thanh Spetlíková, David Novotný, Ján Jackuliak, Miroslav Hruska",,,"Alongside a surly veteran detective, an idealistic police officer must investigate a murder that reopens old wounds for her Vietnamese community.",5.6,156,
Vice,"Biography, Comedy, Drama","Amy Adams, Christian Bale, Steve Carell, Sam Rockwell",R,25 Dec 2018,"Buoyed by his formidable wife Lynne, Dick Cheney gains power and shrewdly manipulates the U.S. vice presidency with explosive global consequences.",7.2,122744,
Home Care,"Comedy, Drama","Tatiana Vilhelmová, Bolek Polívka, Alena Mihulová, Zuzana Krónerová",,16 Jul 2015,An accident upends the life of a selfless middle-aged nurse when shes forced to put herself above others for the first time.,7,429,
Gretel & Hansel,"Short, Fantasy","Stephanie Jones, Lloyd Johnson, Derrel Maury",,,"In this chilling reimagining of the Brothers Grimm tale, two siblings in search of food and work stumble upon a house where a child-eating witch lives.",,,
A Resistance,,,,27 Feb 2019,A 17-year-old activists shouts for Korean independence ring loud even within the confinements of prison walls. Based on true events in 1919 Korea.,,,
The Secret Mission,"Comedy, Drama, History","Hae-Jin Yoo, Hyeon Woo, Hong-pa Kim, Yoon Kyung-Ho",,11 Jan 2019,"During Japanese occupation in the 1940s when speaking Korean is banned, a brave few compile a dictionary as a declaration of their independence.",6.4,301,
Tazza: One Eyed Jack,"Crime, Drama, Thriller","Jung-min Park, Seung-bum Ryoo, Je-Moon Yoon, Yu-hwa Choi",,20 Sep 2019,The stakes grow higher than ever for a clever but troubled poker player when he joins a group of other skilled gamblers in a scheme for a big payday.,5.8,339,
Forbidden Dream,"History, Drama","Choi Min-sik, Suk-kyu Han, Sung-Hoon Park",,26 Dec 2019,"In the Joseon era, longtime friends King Sejong the Great and the brilliant inventor Jang Yeong-sil suffer a falling out over a now-famous incident.",6.6,189,
Kim Ji-Young: Born 1982,Drama,"Bong-ryeon Lee, Min-Jung Gong, Ae-sim Kang, Sung-Cheol Kim",,23 Oct 2019,"A strange condition manifests in Kim Ji-young, an ordinary 30-something facing the uneven reality of being a woman in modern-day South Korea.",7.4,2318,
Hitman: Agent Jun,"Action, Comedy","Lee Ji-Won, Sang-Woo Kwon, Jun-ho Jeong, Ji-won Lee",,22 Jan 2020,A failing webtoon artist finds hes drawn a target on his own back after publishing a story containing real secrets from his former life as a superspy.,6.3,1112,
The Divine Fury,"Action, Horror, Thriller","Park Seo-Joon, Eun-hyung Jo, Woo Do-Hwan, Sung-Ki Ahn",Not Rated,31 Jul 2019,An MMA fighter wields his punches for good when an exorcist priest helps him discover godly powers in the palm of his hand.,6.2,2230,
Greta,"Drama, Mystery, Thriller","Jane Perry, Isabelle Huppert, Maika Monroe, Chloë Grace Moretz",R,01 Mar 2019,"When a trusting young woman returns a left-behind handbag to a lonely widow, they spark up a friendship that soon turns into something sinister.",6,25644,
"You, Me and Him","Short, Drama, Romance","Diego Torraca, Eduardo Melo, Daniel Tavares, Eleio Calascibetta",Not Rated,05 Jun 2008,"Olivia and Alex are in love, but when both women find themselves pregnant and third wheel neighbor John steps into their lives, chaos ensues.",7.1,1405,
Little Singham: Kaal Ka Badla,"Animation, Action","Neshma Chemburkar, Ganessh Divekar, Saumya Daan, Jigna Bharadhwaj",,23 May 2020,"Little Singham’s biggest enemy, the demon Kaal, is back and badder than ever — but this time, will he succeed in destroying the world’s best kid cop?",6.2,5,
High Score,"Documentary, History",Charles Martinet,TV-14,19 Aug 2020,"This docuseries traces the history of classic video games, featuring insights from the innovators who brought these worlds and characters to life.",7.4,6117,
DeMarcus Family Rules,Reality-TV,"Chris Chambers, Jane Alderson, Allison DeMarcus, Dylan DeMarcus",TV-14,19 Aug 2020,Rascal Flatts bassist Jay DeMarcus and ex-beauty queen Allison DeMarcus write their own rules for juggling family and fun in this reality show.,6.3,68,
Meet the In-Laws,Comedy,"Jie Liu, Shiu Hung Hui, Peng Lin, Shao-Tung Chou",,03 Aug 2012,"When their respective parents oppose their union, a newly engaged couple learns that the reasons for pushback run deeper than just tribal differences.",5.7,127,
Schlag den Star,Game-Show,"Steven Gätjen, Elton, Frank Buschmann, Stefan Raab",,13 Mar 2009,Contestants go head-to-head against celebrities in a star-studded showdown of smarts and strength for a hefty cash prize.,4.8,173,
Star Boot Sale,"Game-Show, Reality-TV",Shane Richie,,19 Mar 2018,"To win money for their favorite charities, a group of celebrities compete against each other to sell memorabilia at ""car boot"" sales.",,,
An Easy Girl,"Comedy, Drama","Mina Farid, Benoît Magimel, Zahia Dehar, Nuno Lopes",TV-MA,13 Aug 2020,A teen girl is drawn to her cousin’s hedonistic lifestyle when they spend the summer together in Cannes as she learns about herself and her own values.,5.6,3948,
Octonauts & the Caves of Sac Actun,"Animation, Adventure, Comedy, Family","Michael Murphy, Paul Panting, Simon Greenall, Teresa Gallagher",,14 Aug 2020,"The Octonauts embark on an underwater adventure, navigating a set of challenging caves to help a small octopus friend return home to the Caribbean Sea.",6.5,95,
Heaven Will Wait,Drama,"Clotilde Courau, Sandrine Bonnaire, Naomi Amarger, Noémie Merlant",,05 Oct 2016,"Two teens from different backgrounds are recruited by the Islamic State group, turning the lives of their loved ones upside down.",7,832,
Gunjan Saxena: The Kargil Girl,"Action, Biography, Drama, War","Pankaj Tripathi, Angad Bedi, Janhvi Kapoor, Manav Vij",TV-14,12 Aug 2020,Flight Lieutenant Gunjan Saxena makes history in her journey from aspiring aviator to India’s first female combat pilot in the Kargil War.,5.3,24311,
Nigerian Prince,"Crime, Drama, Thriller","Antonio J Bell, Bimbo Manuel, Tina Mba, Chinaza Uche",TV-MA,24 Apr 2018,"When a stubborn American teenager is sent to Nigeria by his mother, his cousins scamming business becomes a viable option for securing a return flight.",5.6,296,
Bread Barbershop,Animation,"Elinor Vanderburg, Courtney Shaw, Barrett Leddy, Marc Thompson",TV-Y,15 Aug 2020,"In a town filled with food, Bread is a master cake decorator who gives life-changing makeovers that will put any customer in an amazing mood.",8.5,61,
Ackley Bridge,"Drama, Romance","Lorraine Cheshire, Jo Joyner, Amy-Leigh Hickman, Sunetra Sarker",Not Rated,07 Jun 2017,"After years of segregation, two Yorkshire schools merge into one, leading to some intense culture clashes and, just maybe, some unexpected friendships.",7.2,1147,
Teenage Bounty Hunters,"Comedy, Crime, Drama","Maddie Phillips, Kadeem Hardison, Anjelica Bette Fellini, Virginia Williams",TV-MA,14 Aug 2020,Twin sisters Sterling and Blair balance teen life at an elite Southern high school with an unlikely new career as butt-kicking bounty hunters.,7.7,8049,
The Great Heist,"Crime, Drama, Thriller","Waldo Urrego, Christian Tappan, Andrés Parra, Marcela Benjumea",TV-MA,14 Aug 2020,"In 1994, a team of thieves plans an ambitious heist to steal millions from Colombias Bank of the Republic. Inspired by true events.",7.3,1910,
Baba Parasi,Comedy,"Seher Devrim Yakut, Rasim Öztekin, Murat Cemcir, Ahmet Kural",,01 Jan 2020,"After their fathers death, siblings with nothing in common vie with each other to unlock a safe containing the family inheritance.",4.5,2610,
Project Power,"Action, Crime, Sci-Fi, Thriller","Jamie Foxx, Dominique Fishback, Joseph Gordon-Levitt, Rodrigo Santoro",R,14 Aug 2020,"An ex-soldier, a teen and a cop collide in New Orleans as they hunt for the source behind a dangerous new pill that grants users temporary superpowers.",6,70430,
Fearless,"Action, Biography, Drama, Sport","Jet Li, Yong Dong, Yun Qu, Li Sun",PG-13,22 Sep 2006,A teen gamer is forced to level up to full-time babysitter when his favorite video game drops three superpowered infants from space into his backyard.,7.6,72960,
(Un)Well,Documentary,Jennifer Julian,TV-MA,12 Aug 2020,"This docuseries takes a deep dive into the lucrative wellness industry, which touts health and healing. But do the products live up to the promises?",6.4,783,
Kongsuni and Friends,Animation,"Nathan Hunt, Nikki Rae Hallow, Josh Friesen, Caitlynne Medrek",,22 Aug 2017,A bright-eyed girl and her magical owl sidekick find adventure when enchanting powers and creative ideas lead to important lessons.,3.9,13,
"Rob Schneider: Asian Momma, Mexican Kids",Comedy,"Elle King, Rob Schneider",TV-MA,11 Aug 2020,"Former ""Saturday Night Live"" star Rob Schneider returns to the stage and shares his take on life, love and dinosaur dreams in this stand-up special.",5.4,589,
Killing Hasselhoff,Comedy,"David Hasselhoff, Jim Jefferies, Colton Dunn, Ken Jeong",R,29 Aug 2017,"In major debt to a loan shark, a nightclub owner whos entered in a celebrity death pool tries to murder a famous figure for half a million dollars.",4.5,2389,
Moesha,"Comedy, Drama, Family","Lamont Bentley, William Allen Young, Marcus T. Paulk, Brandy Norwood",TV-PG,23 Jan 1996,"Navigating the twists and firsts of high school, Moesha juggles friendships, romance and the occasional drama while trying to keep her family together.",5.8,3265,
Supermarket Sweep,"Family, Game-Show","Johnny Gilbert, Randy West, David Ruprecht",TV-G,05 Feb 1990,"In this iconic game show, contestants answer food trivia questions then race against the clock while stuffing their carts for massive grocery gains.",7.5,735,
Takki,Drama,Mohammed Balkhi,,20 Feb 2012,"In Jeddah, Saudi Arabia, a young aspiring filmmaker and his circle of friends grapple with family expectations, gender roles, romance and rivalry.",7.3,85,
Where Do I Come From?,Short,Earlene Stevens,,,An aspiring novelist with the ability to read people’s thoughts gets embroiled with an old friend who’s now an elite member of the yakuza.,,,
Tada Never Falls In Love,"Animation, Comedy, Romance","Mamoru Miyano, Josh Grelle, Manaka Iwami, Yûichi Nakamura",,03 Apr 2018,A quiet high schooler passionate about photography meets a European transfer student named Teresa and falls in love for the first time.,7.1,418,
Kanto Wanderer,"Action, Crime","Akira Kobayashi, Hiroko Itô, Daisaburô Hirata, Chieko Matsubara",,23 Nov 1963,"A crime bosss bodyguard spends most of his time keeping a watchful eye on his employers archrival, who repeatedly tries to expand his territory.",6.9,374,
Million Joe,Adventure,Hiromitsu Kitayama,,09 Oct 2019,"When the artist of a blockbuster manga series suddenly dies, his editor conceals his passing to see the unfinished story through to the end.",,,
Man Who Causes a Storm,Drama,"Kyôji Aoyama, Fukuko Sayo, Mie Kitahara, Yûjirô Ishihara",,29 Dec 1957,"On the glittering, dangerous streets of Ginza, a rebellious young jazz drummer with unstoppable talent claws his way to the top.",6.1,54,
My Friend A,"Biography, Drama, Horror","Ross Lynch, Zachary Davis Brown, Vincent Kartheiser, Lily Kozub",R,02 Mar 2018,An ex-journalist with a heavy conscience starts to suspect that his new friend might have committed a terrible crime as a child.,6.2,16532,
Intentions of Murder,Drama,"Shigeru Tsuyuguchi, Yûko Kusunoki, Kô Nishimura, Masumi Harukawa",Not Rated,17 Nov 1964,Downtrodden housewife Sadako seizes an unlikely opportunity to escape her oppressive life after she is raped by a robber in her home.,7.7,1415,
Fuzjko Hemming: A Pianist of Silence & Solitude,Documentary,"Ulf Hemming, Ingrid Fuzjko Hemming",,,"This documentary follows the dynamic pianist as she travels the world, playing sold-out concerts and reminiscing on her long, unconventional life.",,,
The Insect Woman,Drama,"Setsuko Amamiya, Tomoko Aoyagi, Emiko Aizawa, Tomio Aoki",Not Rated,30 Jun 1964,"Peasant woman Tome struggles to make her way in life against the backdrop of Japans 20th century transformations, doing whatever it takes to survive.",7.5,1908,
Joker,"Crime, Drama, Thriller","Joaquin Phoenix, Zazie Beetz, Robert De Niro, Frances Conroy",R,04 Oct 2019,"In 1981 Gotham City, a struggling, mentally ill comic battles to be seen. His life takes a dark, gut-wrenching turn after he lashes back at attackers.",8.4,951938,
The Governor,"Crime, Drama","Derek Martin, Ron Donachie, Janet McTeer, David J. Nicholls",,14 May 1995,"When sudden tragedy forces a deputy to step into the role of governor, she faces grueling political and personal tests in order to lead her state.",7.5,112,
Word Party Songs,"Animation, Family",,,07 Aug 2020,"Sing along and dance with Bailey, Franny, Kip, Lulu and Tilly in this collection of music videos that will get you in the mood to move and groove!",3.6,7,
Work It,"Comedy, Music","Kalliane Brémault, Liza Koshy, Keiynan Lonsdale, Briana Andrade-Gomes",TV-14,07 Aug 2020,A brilliant but clumsy high school senior vows to get into her late father’s alma mater by transforming herself and a misfit squad into dance champions.,6.1,9254,
Tiny Creatures,"Documentary, Drama, Family","Louis Labrom-Brown, Mike Colter",TV-PG,07 Aug 2020,Little animals embark on big adventures across the U.S. in a dramatic nature series that explores their hidden worlds and epic survival stories.,4.9,929,
Sing On! Germany,"Game-Show, Music, Reality-TV",Palina Rojinski,,07 Aug 2020,"In this karaoke competition hosted by Palina Rojinski, contestants must hit the right note for a chance to win up to 30,000 euros.",5.3,104,
The Magic School Bus Rides Again Kids In Space,"Animation, Adventure, Comedy, Family, Sci-Fi","Gabby Clarke, Mikaela Blake, Roman Lutterotti, Kate McKinnon",TV-Y,07 Aug 2020,The Magic School Bus kids blast into orbit — and onto the International Space Station — only to find themselves on the run from a giant tardigrade!,6.1,42,
Preman Pensiun,"Comedy, Crime, Drama","Soraya Rasyid, Dedi Moch Jamasari, Tia Arifin, Epy Kusnandar",,17 Jan 2019,"Despite his struggles to lead a law-abiding life, a former criminal tries to resist the urge to meddle in a revenge plot led by his past underlings.",6.9,130,
Mahasiswi Baru,"Comedy, Drama","Mikha Tambayong, Umay Shahab, Morgan Oey, Widyawati",Unrated,08 Aug 2019,"A woman in her golden years goes to college, where she befriends a group of younger students and gets into many misadventures. Inspired by a true story.",5,104,
